Job Title,Company,Location,Kind of Job,Posted On,Job Description
Gen AI Lead/Architect,Xoriant Corporation,Remote,Contract,Posted 60+ days ago,"Title: Gen AI Lead/Architect Duration: 12+ Months (Possible Extensions-Long Term Project) Location: 100% Remote Job Description: Individual will be responsible for overseeing a team of data scientists and driving data-driven decision-making within the organizationKey Responsibilities: This role will involve developing, implementing, and managing advanced analytics and machine learning models to extract insights and create predictive solutions.Individual will be responsible for mentoring and gui"
Gen AI Architect,"Svam International, Inc.",Remote,Contract,Posted 60+ days ago,"Individual will be responsible for overseeing a team of data scientists and driving data-driven decision-making within the organization.Key Responsibilities: This role will involve developing, implementing, and managing advanced analytics and machine learning models to extract insights and create predictive solutions.Individual will be responsible for mentoring and guiding junior data scientists, providing technical leadership, and contributing to the overall data science strategy of the company"
GEN AI Product Owner,Vega Consulting Solutions,"Remote or Reston, Virginia, USA","Contract, Third Party",Posted 21 days ago,"Only candidates eligible for direct Perm employment will be considered for this role Candidates will be required to support East Coast work hours. Candidates must be located in PA, MD, DC, VA or WVA. Vega Consulting Solutions, Inc. is hiring a Product Owner for a 12 month contract to hire job opportunity. Seeking candidates that are eligible for direct perm employment for our direct client. Job Requirements: The Product Owner will drive value to the business by building, managing, and maintaini"
Gen AI Full Stack Engineer,BAMM,Remote,Full-time,Posted 29 days ago,"We are seeking a highly skilled Full Stack Engineer with a keen eye for UI/UX design to take a leading role in developing next-generation Generative AI (GenAI) chatbots. This role is at the intersection of intuitive user interface design and robust backend architecture, aimed at crafting engaging and innovative conversational AI experiences. As a key member of our interdisciplinary team, which includes Product Managers, UX Designers, Data Scientists, and Machine Learning Engineers, you will play"
Full-Stack Application Gen AI Architect,Epikso,Remote or US,Third Party,Posted 10 hours ago,"Job Duties Design, develop, and maintain consumer-facing multimodal AI applications, ensuring a seamless integration between font-end and back-end systems Develop and maintain server-side logic, databases, and APIs Design and optimize database schemas, ensuring data integrity and security Write unit and integration tests to ensure the quality and functionality of the applications Participate in code reviews Technical documentation Stay updated with latest industry trends and technologies and app"
Salesforce BA with Gen AI,Galactic Minds Inc.,"Remote or Illinois, USA","Contract, Third Party",Posted 4 hours ago,"Job Title: Salesforce BA with Gen AI Location: Chicago, IL (Local preferred. Open for remote profiles from EST/CST locations need to work in CST) Duration: Long Term Job Description: GenAI Business Analyst/Business System Analyst who has good communication and good hands-on exposure in Salesforce Service Cloud. Past experience / current project working as a BA in a GenAI project. Either integration or executing strategic planning for GenAI / AI initiatives. hands-on exposure in Salesforce Ser"
AI Developer,"Commercial Programming Systems, Inc.","Remote or Los Angeles, California, USA",Contract,Posted 5 days ago,"AI Developer Remote work with the possibility of occasional Los Angeles meetings .The durationofthe engagement is at least 12 months. This is a remote position; however, they may have to travel on-site or to other courts or conferences on rare occasions. The person we contract with should be someone we can hire permanently within 12 monthsofthem coming on board. W2 candidates only. Project Overview:The clientis undertaking innovative projects aimed at integrating generative AI and AI-driven docu"
"AI Trainer, SOQL Developer",Alignerr,"Brockton, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Quincy, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Brockton, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Quincy, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, SOQL Developer",Alignerr,"Cambridge, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"Gen AI Engineer - Bedrock, Sagemaker (13+ exp)",Turing IT Labs,Remote,Contract,Posted 2 days ago,"Role: AI ML Engineering Location: Remote Duration: Long Term Job Description: Job Responsibilities Model Development: Design, develop, and implement machine learning models to address business challenges. Model Evaluation and Optimization: Evaluate model performance, fine-tune parameters, and optimize models for accuracy and efficiency. Production Deployment: Deploy models into production environments, ensuring scalability, reliability, and maintainability. Text2SQL AI Orchestration: Develop an"
"AI Trainer, SOQL Developer",Alignerr,"Boston, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Cambridge, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
"AI Trainer, COBOL Developer",Alignerr,"Boston, Massachusetts, USA",Full-time,Posted 40 days ago,Alignerr.com is a community of subject matter experts from several disciplines who align AI models by creating high-quality data in their field of expertise to build the future of Generative AI. Alignerr is operated by Labelbox. Labelbox is the leading data-centric AI platform for building intelligent applications. Teams looking to capitalize on the latest advances in generative AI and LLMs use the Labelbox platform to inject these systems with the right degree of human supervision and automatio
Gen AI Engineer,Accord Innovations Sdn Bhd,Remote,"Contract, Third Party",Posted 1 day ago,"REQUIREMENT:Position: GEN AI Engineer Location: RemoteDuration: 12 Months Job Description : Must to have: 9+ years of experience in machine learning engineering or a related field. Strong understanding of machine learning algorithms and principles. Experience with model evaluation metrics, feedback loops, and optimization techniques. Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch). Experience with deploying and monitoring models in production environ"
Gen AI Architect,"Sincera Technologies, Inc.",Remote,"Full-time, Third Party",Posted 13 days ago,"Job Summary: We are seeking an experienced AI Architect with extensive hands-on experience in Machine Learning (ML), Natural Language Processing (NLP), and Generative AI (Gen AI). This role requires deep knowledge of AI technologies, particularly in both Azure and AWS environments. The AI Architect will be responsible for evaluating solution approaches and AI models to drive innovation and success within the organization. Key Responsibilities: Design and develop scalable AI solutions, leveragin"
Gen AI Architect,Savvyan Technologies,Remote,Contract,Posted 33 days ago,"We are looking for a Generative AI Enterprise Architect, please check the below job description and kindly share your response to proceed further. A Generative AI Enterprise Architect is a specialized role within an organization that focuses on designing and implementing generative artificial intelligence solutions to solve complex business challenges. This role requires a deep understanding of AI technologies, business processes, and a strategic mindset to align AI initiatives with the organiza"
GEN AI Expert - AI Engineer With ML and AWS,Turing IT Labs,Remote,"Contract, Third Party",Posted 5 days ago,"Hi, Job Title: GEN AI Expert - AI Engineer With ML and AWS Location: Remote Duration: 12+ Contract Job Description: Must have: 9+ years of experience in machine learning engineering or a related field.Strong understanding of machine learning algorithms and principles.Experience with model evaluation metrics, feedback loops, and optimization techniques.Proficiency in Python and relevant ML libraries (e.g., scikit-learn, TensorFlow, PyTorch).Experience with deploying and monitoring models in produ"
Gen AI Lead/Architect,Xoriant Corporation,Remote,Contract,Posted 60+ days ago,"Title: Gen AI Lead/Architect Duration: 12+ Months (Possible Extensions-Long Term Project) Location: 100% Remote Job Description: Individual will be responsible for overseeing a team of data scientists and driving data-driven decision-making within the organizationKey Responsibilities: This role will involve developing, implementing, and managing advanced analytics and machine learning models to extract insights and create predictive solutions.Individual will be responsible for mentoring and gui"
Gen AI Architect,"Svam International, Inc.",Remote,Contract,Posted 60+ days ago,"Individual will be responsible for overseeing a team of data scientists and driving data-driven decision-making within the organization.Key Responsibilities: This role will involve developing, implementing, and managing advanced analytics and machine learning models to extract insights and create predictive solutions.Individual will be responsible for mentoring and guiding junior data scientists, providing technical leadership, and contributing to the overall data science strategy of the company"
GEN AI Product Owner,Vega Consulting Solutions,"Remote or Reston, Virginia, USA","Contract, Third Party",Posted 21 days ago,"Only candidates eligible for direct Perm employment will be considered for this role Candidates will be required to support East Coast work hours. Candidates must be located in PA, MD, DC, VA or WVA. Vega Consulting Solutions, Inc. is hiring a Product Owner for a 12 month contract to hire job opportunity. Seeking candidates that are eligible for direct perm employment for our direct client. Job Requirements: The Product Owner will drive value to the business by building, managing, and maintaini"
Gen AI Full Stack Engineer,BAMM,Remote,Full-time,Posted 29 days ago,"We are seeking a highly skilled Full Stack Engineer with a keen eye for UI/UX design to take a leading role in developing next-generation Generative AI (GenAI) chatbots. This role is at the intersection of intuitive user interface design and robust backend architecture, aimed at crafting engaging and innovative conversational AI experiences. As a key member of our interdisciplinary team, which includes Product Managers, UX Designers, Data Scientists, and Machine Learning Engineers, you will play"
